#    x (m)        y (m)        T(x,y) (°C)
    0.000000    0.000000   15.000000
    0.235294    0.000000   15.000000
    0.470588    0.000000   15.000000
    0.705882    0.000000   15.000000
    0.941176    0.000000   15.000000
    1.176471    0.000000   15.000000
    1.411765    0.000000   15.000000
    1.647059    0.000000   15.000000
    1.882353    0.000000   15.000000
    2.117647    0.000000   15.000000
    2.352941    0.000000   15.000000
    2.588235    0.000000   15.000000
    2.823529    0.000000   15.000000
    3.058824    0.000000   15.000000
    3.294118    0.000000   15.000000
    3.529412    0.000000   15.000000
    3.764706    0.000000   15.000000
    4.000000    0.000000   15.000000
    4.235294    0.000000   15.000000
    4.470588    0.000000   15.000000
    4.705882    0.000000   15.000000
    4.941176    0.000000   15.000000
    5.176471    0.000000   15.000000
    5.411765    0.000000   15.000000
    5.647059    0.000000   15.000000
    5.882353    0.000000   15.000000
    6.117647    0.000000   15.000000
    6.352941    0.000000   15.000000
    6.588235    0.000000   15.000000
    6.823529    0.000000   15.000000
    7.058824    0.000000   15.000000
    7.294118    0.000000   15.000000
    7.529412    0.000000   15.000000
    7.764706    0.000000   15.000000
    8.000000    0.000000   55.000000

    0.000000    0.088235   15.000000
    0.235294    0.088235   15.140350
    0.470588    0.088235   15.280169
    0.705882    0.088235   15.418893
    0.941176    0.088235   15.555988
    1.176471    0.088235   15.690962
    1.411765    0.088235   15.823383
    1.647059    0.088235   15.952889
    1.882353    0.088235   16.079202
    2.117647    0.088235   16.202142
    2.352941    0.088235   16.321639
    2.588235    0.088235   16.437746
    2.823529    0.088235   16.550656
    3.058824    0.088235   16.660721
    3.294118    0.088235   16.768476
    3.529412    0.088235   16.874666
    3.764706    0.088235   16.980291
    4.000000    0.088235   17.086657
    4.235294    0.088235   17.195455
    4.470588    0.088235   17.308870
    4.705882    0.088235   17.429732
    4.941176    0.088235   17.561745
    5.176471    0.088235   17.709829
    5.411765    0.088235   17.880644
    5.647059    0.088235   18.083437
    5.882353    0.088235   18.331443
    6.117647    0.088235   18.644324
    6.352941    0.088235   19.052683
    6.588235    0.088235   19.606942
    6.823529    0.088235   20.396300
    7.058824    0.088235   21.593111
    7.294118    0.088235   23.568070
    7.529412    0.088235   27.223450
    7.764706    0.088235   35.065154
    8.000000    0.088235   55.000000

    0.000000    0.176471   15.000000
    0.235294    0.176471   15.281354
    0.470588    0.176471   15.561628
    0.705882    0.176471   15.839680
    0.941176    0.176471   16.114425
    1.176471    0.176471   16.384867
    1.411765    0.176471   16.650126
    1.647059    0.176471   16.909466
    1.882353    0.176471   17.162317
    2.117647    0.176471   17.408307
    2.352941    0.176471   17.647280
    2.588235    0.176471   17.879326
    2.823529    0.176471   18.104816
    3.058824    0.176471   18.324427
    3.294118    0.176471   18.539199
    3.529412    0.176471   18.750583
    3.764706    0.176471   18.960521
    4.000000    0.176471   19.171552
    4.235294    0.176471   19.386951
    4.470588    0.176471   19.610930
    4.705882    0.176471   19.848924
    4.941176    0.176471   20.108001
    5.176471    0.176471   20.397473
    5.411765    0.176471   20.729819
    5.647059    0.176471   21.122132
    5.882353    0.176471   21.598433
    6.117647    0.176471   22.193547
    6.352941    0.176471   22.959795
    6.588235    0.176471   23.979063
    6.823529    0.176471   25.385372
    7.058824    0.176471   27.408250
